location_key,date,country_code,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_per_capita_usd,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,relative_humidity,new_recovered,cumulative_recovered,cumulative_vaccine_doses_administered,population_rural,population_urban,population_density,human_development_index,gdp_usd,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
AR,2020-02-01,AR,Argentina,0,0,73,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,26.506944,18.159722,34.027778,0,50.923043,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-02,AR,Argentina,2,0,75,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,27.215278,18.4375,34.743056,0,53.514699,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-03,AR,Argentina,0,0,75,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,28.979167,21.069444,36.041667,0,49.934527,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-04,AR,Argentina,1,0,76,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,28.1875,20.173611,36.381944,0,56.428433,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-05,AR,Argentina,0,0,76,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,21.993056,17.25,35.548611,60.3885,82.701688,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-06,AR,Argentina,0,0,76,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,23,17.659722,27.75,0.635,83.125773,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-07,AR,Argentina,0,0,76,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,22.993056,19.965278,27.944444,9.87425,86.425732,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-08,AR,Argentina,0,0,0,0,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,23.111111,19.444444,27.736111,3.374571,82.354415,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-09,AR,Argentina,0,1,76,1,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,21.118056,17.618056,27.854167,13.43025,79.035014,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-10,AR,Argentina,1,0,77,1,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,20.597222,15.416667,25.930556,0.1905,71.877219,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
AR,2020-02-11,AR,Argentina,1,0,78,1,44938712,19523766,20593330,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,10006,-34,-64,2780400,21.75,15.569444,27.715278,0,66.593662,,,,3599141,41339571,16.515,0.825,449663446954,21.8,5.9,8.8,2.5996,3.9901,15057273,2690269,55032,76.52,147.086,79.483,26.6,15.8
